Enabled,activé
Enter Google Api Key,Entrez Google Api Key
Language you want to translate your website to,Langue que vous voulez traduire votre site
Translate from,traduire à partir de
Translate Fields,traduire champs
Translate Configuration,traduire Configuration
Translator,Traducteur
Yes,Oui
No,Non
Select Yes to enable this feature.,Sélectionnez Oui pour activer cette fonction.
Enter google api key to translate data.,Entrez google clé API pour traduire les données.
Choose language which you want to translate your website,Choisissez la langue que vous voulez traduire votre site web
Product attributes wich will translated on mass translate.,Caractéristiques du produit wich se traduit sur ??la masse traduire.
