Enabled,Aktiviert
Enter Google Api Key,Geben Google Api Key
Language you want to translate your website to,Sprache Sie wollen Ihre Website zu übersetzen
Translate from,übersetzen
Translate Fields,übersetzen Felder
Translate Configuration,übersetzen Configuration
Translator,übersetzer
Yes,Ja
No,Keine
Select Yes to enable this feature.,"Wählen Sie Ja, um diese Funktion zu aktivieren."
Enter google api key to translate data.,"Geben google api Schlüssel, um Daten zu übersetzen."
Choose language which you want to translate your website,"Wählen Sie eine Sprache, die Sie auf Ihre Website übersetzen wollen"
Product attributes wich will translated on mass translate.,Produkteigenschaften wich auf Masse übersetzen übersetzt.
