"Order Restriction","Giới hạn đặt hàng"
"Limit Quantity per Order","Số vật phẩm trong một đơn hàng"
"Limit Orders per Month","Số đơn hàng trong một tháng"
"Could not get the customer order rule data. Please review the log!","Could not get the customer order rule data. Please review the log!"
"Something went wrong! Please review the log!","Có lỗi xảy ra. Vui lòng kiểm tra log!"
"You have reached your order limit (%1) this month.","You have reached your order limit (%1) this month."
"You have reached maximum quantity allowed (%1) for this order. Please checkout before purchasing more","Số lượng vật phẩm tối đa mà bạn có thể đặt cho đơn hàng là %1. Bạn có thể thanh toán đặt hàng hoặc xóa (giảm) số lượng của một vài sản phẩm trong giỏ hàng"
"Number Quantity","Number Quantity"
"30 Days Order Chart","30 Days Order Chart"
"Quick set Order Limitation","Thiết lập giới hạn đặt hàng cho nhiều tài khoản"
"Quick set Order Limitation for multiple Customer","Áp dụng nhanh quy tắc đặt hàng cho nhiều tài khoản cùng một lúc"
"order limit remainings","đơn đặt còn lại"
"Report","Báo cáo"
"Customers %1 are not allowed to update because they are sub-accounts","Những người dùng %1 không được cập nhật vì là sub-accounts"
"Current users haven't an order rule applied","Người dùng hiện tại không được áp dụng quy tắc đặt hàng"
"Not allowed","Không thêm được"
"Bss Order Restriction Config","Cấu hình Giới hạn đặt hàng"
"Manage Order Restriction","Quản lý Giới hạn đặt hàng"
"You haven't no permission to this action.","Bạn không có tư cách làm việc này."
"Rule Information","Thông tin giới hạn"
