Enabled,ingeschakeld
Enter Google Api Key,Voer Google Api Key
Language you want to translate your website to,Taal wilt u uw website te vertalen
Translate from,Vertaling uit
Translate Fields,vertalen Fields
Translate Configuration,vertalen Configuratie
Translator,vertaler
Yes,ja
No,geen
Select Yes to enable this feature.,Selecteer Ja om deze functie in te schakelen.
Enter google api key to translate data.,Voer google api sleutel om de gegevens te vertalen.
Choose language which you want to translate your website,Kies de taal waarin u wilt uw website te vertalen
Product attributes wich will translated on mass translate.,Product attributen welke zal vertaald op de massa te vertalen.
