"Affiliate Banners","Banners de afiliados"
"My Credit","Meu crédito"
"Available Balance","Saldo Disponível"
"Holding Balance","Mantendo o equilíbrio"
"Total Earned","Total ganho"
"Total Paid","Total Pago"
"Refer friends","Indique amigos"
"Affiliate Setting","Configuração de afiliados"
"Signup Affiliate","Afiliado Cadastre-se"
"My Withdrawal","Minha retirada"
"You can request withdraw when your balance equal or greater than %1","Você pode solicitar saque quando seu saldo for igual ou maior que %1"
"You can withdraw a minimum %1","Você pode retirar um mínimo %1"
"You can withdraw a maximum %1","Você pode retirar um máximo %1"
"Save Account","Salvar conta"
"Cancel","Cancelar"
"New Account","Nova conta"
"Please select a customer","Selecione um cliente"
"Account Information","Informações da conta"
"Customer","Cliente"
"Affiliate Group","Grupo Afiliado"
"Referred By","Referido por"
"Affiliate account Id","ID da conta de afiliado"
"Status","Status"
"Email Notification","Notificação por e-mail"
"Account","Conta"
"Save and Continue Edit","Salvar e continuar editando"
"Edit Account '%1'","Editar conta '%1'"
"Balance","Equilíbrio"
"Referral Code","Código de referência"
"Save Banner","Salvar banner"
"Edit Banner ""%1""","Editar banner ""%1"""
"New Banner","Nova bandeira"
"Banner Information","Informações do banner"
"Title","Título"
"Content","Conteúdo"
"Url","Url"
"If empty, home page will be used.","Se estiver vazia, a página inicial será usada."
"Related Campaign","Campanha relacionada"
"Only affiliates who are in above campaign can see this banner.","Só os filiados que estão na campanha acima podem ver essa faixa."
"Rel Nofollow","Rel Nofollow"
"Put the rel=""nofollow"" attribute on the link.","Coloque o atributo rel=""nofollow"" no link."
"Save Campaign","Campanha Salve"
"Edit Campaign ""%1""","Editar campanha ""%1"""
"New Campaign","Nova campanha"
"Campaign Information","Informações da campanha"
"Name","Nome"
"Description","Descrição"
"Website IDs","IDs do site"
"Affiliate Groups","Grupos Afiliados"
"Display","Exibição"
"Active From Date","Ativo a partir da data"
"Active To Date","Ativo até o momento"
"Sort Order","Ordem de classificação"
"Pay Per Sale","Pague por venda"
"Add Commission Type and Value","Adicionar tipo de comissão e valor"
"Commissions","Comissões"
"Percentage of grand total","Porcentagem do total geral"
"Fixed amount","Valor fixo"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem atendidas (deixar em branco para todos os produtos)"
"Condition","Condição"
"Conditions","Condições"
"Discounts","Descontos"
"Discount","Desconto"
"Apply","Aplicar"
"Discount Amount","Valor do desconto"
"Apply to Shipping Amount","Aplicar ao valor do frete"
"Discount Description","Descrição do desconto"
"Save Group","Salvar grupo"
"New Group","Novo Grupo"
"Group Information","Informações do grupo"
"Group","Grupo"
"label","rótulo"
"Reset banner traffic","Redefinir tráfego de banners"
"Save Transaction","Salvar transação"
"New Transaction","Nova transação"
"Please select an affiliate account","Selecione uma conta de afiliado"
"Transaction Information","Informações sobre transações"
"Amount","Quantidade"
"Add or subtract affiliate's balance. E.g: 99 or -99","Adicionar ou subtrair saldo de afiliado. Ex.: 99 ou -99"
